business_name,category,source_city,slug,address,phone,email,website_url,website_score,google_rating,review_count,photo_count,priority_tier,status,preview_url,outreach_status
Little Espresso Shop,cafe,"Ashland, Oregon",little-espresso-shop,"515 Clover Ln, Ashland, OR 97520, USA",,,,0,4.8,48,10,A,new,,not_contacted
Nails To Tails & Doggie Solutions LLC pet care center,pet groomer,"Medford, Oregon",nails-to-tails-doggie-solutions-llc-pet-care-center,"2191 Kings Hwy, Medford, OR 97501, USA",(541) 500-1775,,,0,5,41,10,A,new,,not_contacted
Pickles Paw Spa,pet groomer,"Medford, Oregon",pickles-paw-spa,"828 S Central Ave suite #7, Medford, OR 97501, USA",(541) 500-1037,,,0,4.8,39,10,A,new,,not_contacted
"West Salem Dog Grooming, formerly Canine Concepts",pet groomer,"Salem, Oregon",west-salem-dog-grooming-formerly-canine-concepts,"1452 Brush College Rd NW, Salem, OR 97304, USA",(503) 581-1529,,,0,4.5,38,10,A,new,,not_contacted
Emerald K9,pet groomer,"Portland, Oregon",emerald-k9,"1720 NW Lovejoy St ste 112, Portland, OR 97209, USA",(971) 413-5772,,,0,4.9,37,10,A,new,,not_contacted
Larry McGinnis Heating & Air Conditioning,hvac contractor,"Albany, Oregon",larry-mcginnis-heating-air-conditioning,"1156 Anderson Pl SE, Albany, OR 97322, USA",(541) 928-0460,,,0,4.9,34,0,A,new,,not_contacted
Sheldon N Berger Tax Service,accounting firm,"Hillsboro, Oregon",sheldon-n-berger-tax-service,"832 SE 60th Ave, Hillsboro, OR 97123, USA",(971) 227-1334,,,0,3.9,32,0,A,new,,not_contacted
JT Electric,electrician,"Medford, Oregon",jt-electric,"4849 Airway Dr STE 105, Central Point, OR 97502, USA",(541) 734-5714,,,0,4.9,29,2,A,new,,not_contacted
House of Paws,pet groomer,"Medford, Oregon",house-of-paws,"2714 W Main St, Medford, OR 97501, USA",(541) 973-2101,,,0,4.8,26,10,A,new,,not_contacted
OC Electric,electrician,"Oregon City, Oregon",oc-electric,"14960 S Victory Rd, Oregon City, OR 97045, USA",(503) 801-9038,,,0,5,21,10,A,new,,not_contacted
Tender Woof Mobile Grooming,pet groomer,"Salem, Oregon",tender-woof-mobile-grooming,"10182 Alta sierra dr, Grass Valley, CA 95940, USA",,,,0,4.8,20,10,A,new,,not_contacted
Claws and Paws Pet Resort,daycare,"Corvallis, Oregon",claws-and-paws-pet-resort,"862 NW Oak Ave, Corvallis, OR 97330, USA",(541) 223-3608,,,0,5,18,10,A,new,,not_contacted
Eugene Heating and Air Conditioning,hvac contractor,"Eugene, Oregon",eugene-heating-and-air-conditioning,"2130 W 7th Ave, Eugene, OR 97402, USA",(541) 234-4801,,,0,4.9,17,1,A,new,,not_contacted
The Peques Tribe Day Care,daycare,"Medford, Oregon",the-peques-tribe-day-care,"2014 E McAndrews Rd, Medford, OR 97504, USA",(541) 690-7974,,,0,5,16,9,A,new,,not_contacted
"Willpower Electric, LLC",electrician,"Medford, Oregon",willpower-electric-llc,"24 Ehrman Way, Medford, OR 97501, USA",(541) 535-3965,,,0,4.8,16,10,A,new,,not_contacted
Oregon Coast Childcare,daycare,"Oregon City, Oregon",oregon-coast-childcare,"7659 NW Logan Rd, Lincoln City, OR 97367, USA",(503) 313-8668,,,0,4.5,15,10,A,new,,not_contacted
Laugh & Learn Childcare,daycare,"Gresham, Oregon",laugh-learn-childcare,"23445 NE Glisan St, Wood Village, OR 97060, USA",(503) 317-3811,,,0,5,13,10,A,new,,not_contacted
A Precious Pet,pet groomer,"Medford, Oregon",a-precious-pet,"256 Vashti Way, Medford, OR 97501, USA",(541) 779-7770,,,0,4.9,13,1,A,new,,not_contacted
Cozy Cottage Child Care,daycare,"Salem, Oregon",cozy-cottage-child-care,"882 20th St NE, Salem, OR 97301, USA",(503) 371-4841,,,0,4.6,13,10,A,new,,not_contacted
Studio 49 Photography,photography studio,"Bend, Oregon",studio-49-photography,"20240 Reed Ln Apt 148, Bend, OR 97702, USA",(541) 331-6494,,,0,4,13,10,A,new,,not_contacted
Ertell Electric LLC,electrician,"Hillsboro, Oregon",ertell-electric-llc,"5293 NE Elam Young Pkwy Ste 110, Hillsboro, OR 97124, USA",(503) 596-2199,,,0,3.4,12,0,A,new,,not_contacted
Jazzy’s Doggy Spaw,pet groomer,"Medford, Oregon",jazzys-doggy-spaw,"628 N Riverside Ave # C, Medford, OR 97501, USA",(541) 531-0947,,,0,5,11,10,A,new,,not_contacted
Rich John C,law firm,"Corvallis, Oregon",rich-john-c,"455 SW Madison Ave, Corvallis, OR 97333, USA",(541) 752-4322,,,0,4.8,11,0,A,new,,not_contacted
Precious Angels LLC,daycare,"Medford, Oregon",precious-angels-llc,"3070 Merriman Rd, Medford, OR 97501, USA",(541) 890-8696,,,0,4.3,11,7,A,new,,not_contacted
Wayne's Tax Services Inc,accounting firm,"Hillsboro, Oregon",waynes-tax-services-inc,"970 SW Baseline St, Hillsboro, OR 97123, USA",(503) 681-0801,,,0,3.9,11,0,A,new,,not_contacted
Liebert & Liebert CPA,accounting firm,"Portland, Oregon",liebert-liebert-cpa,"Parking lot, 4300 NE Broadway Suite 3, Portland, OR 97213, USA",(503) 287-4992,,,0,4.4,10,1,A,new,,not_contacted
"Clark S. Willes, Attorney at Law",law firm,"Corvallis, Oregon",clark-s-willes-attorney-at-law,"129 NW 4th St Ste 205, Corvallis, OR 97330, USA",(541) 758-0071,,,0,4.2,10,0,A,new,,not_contacted
Early Learning Center,daycare,"Salem, Oregon",early-learning-center,"765 14th St NE, Salem, OR 97301, USA",(503) 391-4964,,,0,5,8,0,A,new,,not_contacted
Tom's Electrical,electrician,"Gresham, Oregon",toms-electrical,"24076 SE Stark St #224, Gresham, OR 97030, USA",(503) 739-9848,,,0,5,8,0,A,new,,not_contacted
Amanda's MVP Grooming LLC,pet groomer,"Medford, Oregon",amandas-mvp-grooming-llc,"1930 Table Rock Rd, Medford, OR 97501, USA",(541) 613-5714,,,0,5,8,10,A,new,,not_contacted
Hillsboro Electric LLC,electrician,"Hillsboro, Oregon",hillsboro-electric-llc,"8285 NE Evergreen Pkwy Suite 110, Hillsboro, OR 97124, USA",(503) 439-9666,,,0,5,8,0,A,new,,not_contacted
Patty's Little Minions Childcare LLC,daycare,"Salem, Oregon",pattys-little-minions-childcare-llc,"4807 Camelot Ct NE, Salem, OR 97301, USA",(503) 881-3580,,,0,5,7,10,A,new,,not_contacted
Real Learning LLC,tutoring service,"Eugene, Oregon",real-learning-llc,"5593 Edna Way, Eugene, OR 97402, USA",(541) 636-4435,,,0,5,7,2,A,new,,not_contacted
Albany Heating & Air Conditioning,hvac contractor,"Albany, Oregon",albany-heating-air-conditioning,"707 Broadalbin St SW, Albany, OR 97321, USA",(541) 366-7090,,,0,5,7,2,A,new,,not_contacted
David A. Corden,law firm,"Corvallis, Oregon",david-a-corden,"230 SW 6th St, Corvallis, OR 97333, USA",(541) 752-1422,,,0,4.9,7,1,A,new,,not_contacted
Douglas M Bomarito LAW Firm,law firm,"Tigard, Oregon",douglas-m-bomarito-law-firm,"7157 SW Beveland St, Tigard, OR 97223, USA",(503) 223-8285,,,0,5,6,0,A,new,,not_contacted
Little Village Learning Center,daycare,"Salem, Oregon",little-village-learning-center,"445 High St SE #140, Salem, OR 97301, USA",(503) 363-3866,,,0,5,5,0,A,new,,not_contacted
Current Electric,electrician,"Medford, Oregon",current-electric,"2508 Jackson Drive, Medford, OR 97504, USA",(541) 210-0677,,,0,5,5,3,A,new,,not_contacted
Rockwellfoto,photography studio,"Ashland, Oregon",rockwellfoto,"590 Weller Ln, Ashland, OR 97520, USA",(541) 646-5290,,,0,5,5,10,A,new,,not_contacted
Dreamer's Daycare,daycare,"Medford, Oregon",dreamers-daycare,"2979 Bailey Ave, Medford, OR 97504, USA",(541) 772-0619,,,0,5,4,0,A,new,,not_contacted
Grace Childcare Medford Oregon,daycare,"Medford, Oregon",grace-childcare-medford-oregon,"602 Shadow Wood Dr, Medford, OR 97501, USA",(541) 862-0783,,,0,5,4,6,A,new,,not_contacted
Village Childcare LLC,daycare,"Redmond, Oregon",village-childcare-llc,"2480 SW 37th St, Redmond, OR 97756, USA",(503) 347-5743,,,0,5,4,7,A,new,,not_contacted
Powell Valley Preschool and Child Care,daycare,"Gresham, Oregon",powell-valley-preschool-and-child-care,"4460 SE 10th Dr, Gresham, OR 97080, USA",(503) 669-5487,,,0,5,3,1,A,new,,not_contacted
B Easy Grooming,pet groomer,"Medford, Oregon",b-easy-grooming,"22 S Central Ave, Medford, OR 97501, USA",(458) 274-9602,,,0,5,3,3,A,new,,not_contacted
The Highway is Green Photography,photography studio,"Ashland, Oregon",the-highway-is-green-photography,"Ashland, OR 97520, USA",(541) 690-9293,,,0,5,3,10,A,new,,not_contacted
Bernt Jacobsen Attorney,law firm,"Tigard, Oregon",bernt-jacobsen-attorney,"7565 SW Hermoso Way, Tigard, OR 97223, USA",(503) 892-9301,,,0,5,2,0,A,new,,not_contacted
Henderson Electric,electrician,"Redmond, Oregon",henderson-electric,"2949 SW Cascade Vista Dr, Redmond, OR 97756, USA",(503) 580-1310,,,0,5,2,1,A,new,,not_contacted
"Linda Lamprecht, CPA PC",accounting firm,"Hillsboro, Oregon",linda-lamprecht-cpa-pc,"6475 NW Cornelius Pass Rd, Hillsboro, OR 97124, USA",(503) 747-2116,,,0,5,2,0,A,new,,not_contacted
Happy Trails Childcare,daycare,"Beaverton, Oregon",happy-trails-childcare,"8181 SW 184th Ave, Beaverton, OR 97007, USA",(971) 330-9084,,,0,5,2,10,A,new,,not_contacted
Small Steps Child Care Center,daycare,"Medford, Oregon",small-steps-child-care-center,"1900 Crater Lake Ave, Medford, OR 97504, USA",(541) 774-9326,,,0,5,2,0,A,new,,not_contacted
