Business Name,Category,Phone,Website Status,Current Website,Rating,Reviews,Photos,Hours,Address,Slug
Tran Nails,nail salon,(215) 474-1881,NONE,,4.5,196,10,Yes,"5244 Market St, Philadelphia, PA, 19139",tran-nails
VIP TT Nails Salon,nail salon,(215) 596-0950,Bad site,https://g.co/kgs/DRSozc,4.2,126,10,Yes,"1985 N 63rd St, Philadelphia, PA, 19151",vip-tt-nails-salon
Luxe Nail Bar,nail salon,(215) 382-0727,NONE,,3.7,348,10,Yes,"212 S 40th St, Philadelphia, PA, 19104",luxe-nail-bar
Bellish Nail Lounge,nail salon,(484) 649-1931,Bad site,http://bellishnails.booksy.com/,5,40,10,Yes,"841 S 52nd St, Philadelphia, PA, 19143",bellish-nail-lounge
United Tailoring Shop,tailor,(215) 229-7760,NONE,,4.9,237,10,Yes,"2303 N Broad St, Philadelphia, PA, 19132",united-tailoring-shop
Sunsilk Tailor,tailor,(610) 862-1456,Bad site,https://sunsilksuits.com/,5,77,10,Yes,"2024 Chestnut St, Philadelphia, PA, 19103",sunsilk-tailor
Best Seasons and alteration,tailor,(267) 597-4441,NONE,,4.3,68,4,Yes,"239 N 10th St, Philadelphia, PA, 19107",best-seasons-and-alteration
Kim's Cleaners & Tailoring,tailor,(215) 557-1556,NONE,,4.6,131,10,Yes,"2008 Sansom St, Philadelphia, PA, 19103",kims-cleaners-tailoring
New Master tailor and cleaners,tailor,(215) 735-1499,NONE,,4.3,58,3,Yes,"1620 Spruce St, Philadelphia, PA, 19103",new-master-tailor-and-cleaners
Steve’s Old City Cleaners & Tailors,tailor,(215) 427-2550,NONE,,4.8,107,10,Yes,"102 Chestnut St, Philadelphia, PA, 19106",steves-old-city-cleaners-tailors
Scioli Pat,tailor,(215) 334-0990,NONE,,4.6,78,5,Yes,"1744 Passyunk Ave, Philadelphia, PA, 19148",scioli-pat
Overhill Flowers,florist,(215) 473-1842,Bad site,https://www.overhillflowers.com/,4.7,18,10,Yes,"6231 Lancaster Ave, Philadelphia, PA, 19151",overhill-flowers
Roses Florist,florist,(215) 387-3440,Bad site,https://www.uofprosesflorist.com/?utm_source=google&utm_medium=gbp&y_source=1_MjA4OTE5NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.3,77,10,Yes,"36th and Chestnut, Sheraton University City Hotel",roses-florist
Regan's Flower Shop,florist,(215) 879-3810,NONE,,5,7,9,Yes,"1219 N 52nd St #23, Philadelphia, PA, 19131",regans-flower-shop
Rothe Florists & Flower Delivery,florist,(215) 247-0832,Bad site,https://www.rotheflorists.com/?utm_source=google&utm_medium=gmb-website-link&utm_campaign=tmf-gmb,4.9,460,10,Yes,"7148 Germantown Ave, Philadelphia, PA, 19119",rothe-florists-flower-delivery
Woodcrest Flowers,florist,(267) 323-4549,NONE,,4.1,9,9,Yes,"N 58th St, Philadelphia, PA, 19131",woodcrest-flowers
Creative Vases,florist,(267) 897-1050,Bad site,https://www.creativevasesflorist.com/?utm_source=google&utm_medium=gbp&y_source=1_MTA2NTIzNDU5Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.8,17,10,Yes,"543 S 52nd St, Philadelphia, PA, 19143",creative-vases
Poor Richard's Catering,catering,(215) 871-0605,Bad site,https://poorrichardscatering.com/,5,9,0,Yes,"5070 Parkside Ave, Philadelphia, PA, 19131",poor-richards-catering
