business_name,category,slug,address,phone,email,website_url,website_score,google_rating,review_count,photo_count,priority_tier,status,preview_url,outreach_status
J R's Tattoo & Body Piercing,tattoo parlor,j-rs-tattoo-body-piercing,"6110 Market St, Philadelphia, PA 19139, USA",(215) 474-5020,,,0,4.3,161,10,A
VNails and Spa,nail salon,vnails-and-spa,"5101 Walnut St Unit 3, Philadelphia, PA 19139, USA",(215) 852-9475,,,0,4.5,166,10,A
Queen Nails & Spa,nail salon,queen-nails-spa,"16 N 3rd St, Philadelphia, PA 19106, USA",(215) 592-1629,,https://queennailsandspapa.com/,0,4.7,576,10,B
Mai Lashes & Nail Spa,nail salon,mai-lashes-nail-spa,"2910 S 70th St Unit 3, Philadelphia, PA 19142, USA",(267) 969-5262,,,0,4.8,319,10,A
PeCa'Le Salon,nail salon,pecale-salon,"457 Fairmount Ave, Philadelphia, PA 19123, USA",(267) 975-1437,,https://pecalesalon.as.me/,35,5,534,10,B
Solace Nail Salon,nail salon,solace-nail-salon,"6141 Market St, Philadelphia, PA 19139, USA",(610) 968-9982,,http://solacenailsalon.com/?utm_source=gmb&utm_medium=referral,10,4.1,92,10,B
T&C Nail salon,nail salon,tc-nail-salon,"5227 Chestnut St, Philadelphia, PA 19139, USA",(215) 472-4377,,,0,4.2,133,10,A
Blossom LA Nail Bar Center City,nail salon,blossom-la-nail-bar-center-city,"315 S 13th St unit a, Philadelphia, PA 19107, USA",(215) 869-8718,,https://www.blossomlanailbar.com/,10,4.5,299,10,B
Tran Nails,nail salon,tran-nails,"5244 Market St, Philadelphia, PA 19139, USA",(215) 474-1881,,,0,4.5,196,10,A
VIP TT Nails Salon,nail salon,vip-tt-nails-salon,"1985 N 63rd St, Philadelphia, PA 19151, USA",(215) 596-0950,,https://g.co/kgs/DRSozc,25,4.2,126,10,B
Luxe Nail Bar,nail salon,luxe-nail-bar,"212 S 40th St, Philadelphia, PA 19104, USA",(215) 382-0727,,,0,3.7,348,10,A
Bellish Nail Lounge,nail salon,bellish-nail-lounge,"841 S 52nd St, Philadelphia, PA 19143, USA",(484) 649-1931,,http://bellishnails.booksy.com/,30,5,40,10,B
United Tailoring Shop,tailor,united-tailoring-shop,"2303 N Broad St, Philadelphia, PA 19132, USA",(215) 229-7760,,,0,4.9,237,10,A
Sunsilk Tailor,tailor,sunsilk-tailor,"2024 Chestnut St, Philadelphia, PA 19103, USA",(610) 862-1456,,https://sunsilksuits.com/,25,5,77,10,B
Best Seasons and alteration,tailor,best-seasons-and-alteration,"239 N 10th St, Philadelphia, PA 19107, USA",(267) 597-4441,,,0,4.3,68,4,A
Kim's Cleaners & Tailoring,tailor,kims-cleaners-tailoring,"2008 Sansom St, Philadelphia, PA 19103, USA",(215) 557-1556,,,0,4.6,131,10,A
New Master tailor and cleaners,tailor,new-master-tailor-and-cleaners,"1620 Spruce St, Philadelphia, PA 19103, USA",(215) 735-1499,,,0,4.3,58,3,A
Steve’s Old City Cleaners & Tailors,tailor,steves-old-city-cleaners-tailors,"102 Chestnut St, Philadelphia, PA 19106, USA",(215) 427-2550,,,0,4.8,107,10,A
Scioli Pat,tailor,scioli-pat,"1744 Passyunk Ave, Philadelphia, PA 19148, USA",(215) 334-0990,,,0,4.6,78,5,A
Overhill Flowers,florist,overhill-flowers,"6231 Lancaster Ave, Philadelphia, PA 19151, USA",(215) 473-1842,,https://www.overhillflowers.com/,10,4.7,18,10,B
Roses Florist,florist,roses-florist,"36th and Chestnut, Sheraton University City Hotel, 3551 Chestnut St, Philadelphia, PA 19104, USA",(215) 387-3440,,https://www.uofprosesflorist.com/?utm_source=google&utm_medium=gbp&y_source=1_MjA4OTE5NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,10,4.3,77
Regan's Flower Shop,florist,regans-flower-shop,"1219 N 52nd St #23, Philadelphia, PA 19131, USA",(215) 879-3810,,,0,5,7,9,A
Rothe Florists & Flower Delivery,florist,rothe-florists-flower-delivery,"7148 Germantown Ave, Philadelphia, PA 19119, USA",(215) 247-0832,,https://www.rotheflorists.com/?utm_source=google&utm_medium=gmb-website-link&utm_campaign=tmf-gmb,10,4.9,460,10,B
Woodcrest Flowers,florist,woodcrest-flowers,"N 58th St, Philadelphia, PA 19131, USA",(267) 323-4549,,,0,4.1,9,9,A
Creative Vases,florist,creative-vases,"543 S 52nd St, Philadelphia, PA 19143, USA",(267) 897-1050,,https://www.creativevasesflorist.com/?utm_source=google&utm_medium=gbp&y_source=1_MTA2NTIzNDU5Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,10,4.8,17,10,B
Poor Richard's Catering,catering,poor-richards-catering,"5070 Parkside Ave, Philadelphia, PA 19131, USA",(215) 871-0605,,https://poorrichardscatering.com/,0,5,9,0,B
Sculpt'd Philly,pilates studio,sculptd-philly,"950 N 2nd St, Philadelphia, PA 19123, USA",,,,0,4.6,22,0,A
PHILLY YOGA FACTORY,yoga studio,philly-yoga-factory,"1520 Sansom St, Philadelphia, PA 19102, USA",(215) 977-9642,,,0,4.5,6,1,A
Farmhouse Kitchen Thai Cuisine | Pearl District,restaurant,farmhouse-kitchen-thai-cuisine-pearl-district,"121 NW 9th Ave, Portland, OR 97209, USA",(971) 754-4966,,https://farmhousethai.com/pearl-district?utm_source=google,10,4.9,7480,10,B
West End Dental,dentist,west-end-dental,"833 SW 11th Ave #300, Portland, OR 97205, USA",(503) 446-2957,,https://west-end-dental.com/,0,4.9,114,10,B
LA Fitness,gym,la-fitness,"1270 NE Weidler St, Portland, OR 97232, USA",(503) 734-2950,,https://www.lafitness.com/Pages/clubhome.aspx?clubid=556&utm_source=google&utm_medium=googlemaps&utm_campaign=maps,0,3.7,515,10,B
Multnomah Athletic Club,gym,multnomah-athletic-club,"1849 SW Salmon St, Portland, OR 97205, USA",(503) 223-6251,,https://themac.com/,10,4.4,435,10,B
Chenoweth Law Group LLC,law firm,chenoweth-law-group-llc,"510 SW 5th Ave Fourth Floor, Portland, OR 97204, USA",(503) 446-6261,,https://www.chenowethlaw.com/?npcmp=dir:local:3262352:97204,10,4.3,91,2,B
BCK Attorneys at Law,law firm,bck-attorneys-at-law,"2722 NE 33rd Ave, Portland, OR 97212, USA",(503) 238-9720,,http://www.bckattorneys.com/,0,5,169,4,B
Liebert & Liebert CPA,accounting firm,liebert-liebert-cpa,"Parking lot, 4300 NE Broadway Suite 3, Portland, OR 97213, USA",(503) 287-4992,,,0,4.4,10,1
"Snyder & Foster, CPA's, PC",accounting firm,snyder-foster-cpas-pc,"9011 SW Beaverton Hillsdale Hwy, Portland, OR 97225, USA",(503) 974-0818,,,0,4.4,7
Northside Electric,electrician,northside-electric,"2920 22nd St SE, Salem, OR 97302, USA",(503) 585-4879,,http://www.northsideelectric.com/,30,4.7,199,10,B
DISTINCT ELECTRIC,electrician,distinct-electric,"4742 Liberty Rd S #219, Salem, OR 97302, USA",(503) 586-9355,,http://distinctelectricsalem.com/,10,5,33,2,B
Cozy Cottage Child Care,daycare,cozy-cottage-child-care,"882 20th St NE, Salem, OR 97301, USA",(503) 371-4841,,,0,4.6,13,10,A
Early Learning Center,daycare,early-learning-center,"765 14th St NE, Salem, OR 97301, USA",(503) 391-4964,,,0,5,8,0,A
Little Village Learning Center,daycare,little-village-learning-center,"445 High St SE #140, Salem, OR 97301, USA",(503) 363-3866,,,0,5,5,0,A
HAPPPY DAYCARE LLC,daycare,happpy-daycare-llc,"1195 Royalty Dr NE, Salem, OR 97301, USA",(503) 884-3448,,,0,5,1,10,A
Patty's Little Minions Childcare LLC,daycare,pattys-little-minions-childcare-llc,"4807 Camelot Ct NE, Salem, OR 97301, USA",(503) 881-3580,,,0,5,7,10,A
Quedi HVAC Solutions Eugene,hvac contractor,quedi-hvac-solutions-eugene,"42 W 13th Ave, Eugene, OR 97401, USA",(541) 824-0693,,http://quedihvacsolutionseugene.online/,0,5,16,0,B
Heating & Air Conditioning Inc,hvac contractor,heating-air-conditioning-inc,"441 W 5th Ave, Eugene, OR 97401, USA",(541) 234-7445,,,0,5,1,0,A
My professional business,hvac contractor,my-professional-business,"548 Greenfield Ave, Eugene, OR 97404, USA",(541) 729-3252,,,0,4.8,17,0,A
Eugene Heating and Air Conditioning,hvac contractor,eugene-heating-and-air-conditioning,"2130 W 7th Ave, Eugene, OR 97402, USA",(541) 234-4801,,,0,4.9,17,1,A
PureFit Lagree Studio,pilates studio,purefit-lagree-studio,"20370 Empire Ave Suite #C1 Suite C-1, Bend, OR 97703, USA",(541) 480-5020,,http://www.purefitlagreestudioor.com/,0,5,80,10,B
In-Joy Pilates,pilates studio,in-joy-pilates,"532 SW 13th St, Bend, OR 97702, USA",(541) 280-7570,,,0,5,1,0,A
In-Joy Pilates,pilates studio,in-joy-pilates,"62828 Montara Dr, Bend, OR 97701, USA",(541) 280-7570,,,0,5,1,0,A
MOT Photography,photography studio,mot-photography,"19671 Hollygrape St, Bend, OR 97702, USA",(503) 830-1113,,https://www.motphotography.com/,10,5,145,10,B
Studio 49 Photography,photography studio,studio-49-photography,"20240 Reed Ln Apt 148, Bend, OR 97702, USA",(541) 331-6494,,,0,4,13,10,A
Therapydia Physical Therapy - Tanasbourne,physical therapist,therapydia-physical-therapy-tanasbourne,"9282 NE Windsor St, Hillsboro, OR 97006, USA",(503) 606-8849,,https://therapydia.com/brand/therapydia/locations/tanasbourne/?utm_source=google&utm_medium=organic&utm_campaign=google_business_page&utm_id=gbp,0,5,184,6,B
Barbershop Denim,barber,barbershop-denim,"1517 South St, Philadelphia, PA 19146, USA",(267) 930-3980,,http://www.barbershopdenimphilly.com/,35,4.9,531,10,B
Roman’s Barbershop,barber,romans-barbershop,"2120 Walnut St First Floor, Philadelphia, PA 19103, USA",(445) 234-0403,,http://romansphiladelphia.com/,35,4.9,128,10,B
Queen Nails & Spa,nail salon,queen-nails-spa,"16 N 3rd St, Philadelphia, PA 19106, USA",(215) 592-1629,,https://queennailsandspapa.com/,0,4.7,577,10,B
Blossom LA Nail Bar Center City,nail salon,blossom-la-nail-bar-center-city,"315 S 13th St unit a, Philadelphia, PA 19107, USA",(215) 869-8718,,https://www.blossomlanailbar.com/,10,4.5,310,10,B
Talon Nail Bar,nail salon,talon-nail-bar,"509 S 4th St, Philadelphia, PA 19147, USA",(267) 600-7602,,,0,4.8,221,10,A
Omnia Spa - Old City,nail salon,omnia-spa-old-city,"205 Race St, Philadelphia, PA 19106, USA",(267) 805-6400,,http://www.omniaspa.com/oldcity,10,4.7,306,10,B
Bellagio Spa & Nail Care,nail salon,bellagio-spa-nail-care,"2550 Grant Ave # 110, Philadelphia, PA 19114, USA",(215) 437-7526,,https://bellagiospaandnailcarephiladelphia.com/,0,4.8,690,10,B
Four Seasons Nail,nail salon,four-seasons-nail,"1103 Filbert St, Philadelphia, PA 19107, USA",(215) 925-1065,,,0,4.3,185,10,A
La Maison Nails Spa,nail salon,la-maison-nails-spa,"1807 Chestnut St 2nd Floor, Philadelphia, PA 19103, USA",(215) 864-0199,,,0,4.1,306,10,A
Sunsilk Tailor,tailor,sunsilk-tailor,"2024 Chestnut St, Philadelphia, PA 19103, USA",(610) 862-1456,,https://sunsilksuits.com/,25,5,79,10,B
Best Seasons and alteration,tailor,best-seasons-and-alteration,"239 N 10th St, Philadelphia, PA 19107, USA",(267) 597-4441,,,0,4.3,68,4,A
Kim's Cleaners & Tailoring,tailor,kims-cleaners-tailoring,"2008 Sansom St, Philadelphia, PA 19103, USA",(215) 557-1556,,,0,4.6,131,10,A
United Tailoring Shop,tailor,united-tailoring-shop,"2303 N Broad St, Philadelphia, PA 19132, USA",(215) 229-7760,,,0,4.9,240,10,A
New Master tailor and cleaners,tailor,new-master-tailor-and-cleaners,"1620 Spruce St, Philadelphia, PA 19103, USA",(215) 735-1499,,,0,4.3,58,3,A
Anh Custom Tailors,tailor,anh-custom-tailors,"771 S 4th St #75, Philadelphia, PA 19147, USA",(215) 733-9214,,,0,3.9,57,3,A
Jaizelle Hanna Studio,tailor,jaizelle-hanna-studio,"3044 Richmond St, Philadelphia, PA 19134, USA",(215) 520-5928,,,0,5,284,10,A
Alpha Dog Grooming Services,pet groomer,alpha-dog-grooming-services,"2245 Grays Ferry Ave Store Front, Philadelphia, PA 19146, USA",(215) 982-2706,,,0,4.9,133,10,A
Pets and the City Shop,pet groomer,pets-and-the-city-shop,"1649 S 17th St, Philadelphia, PA 19145, USA",(215) 467-8000,,https://rymaps.org/business/pets-and-the-city-shop-igiua5,0,4.8,123,10,B
Kar’s Royal Pet Grooming,pet groomer,kars-royal-pet-grooming,"1169 Hellerman St, Philadelphia, PA 19111, USA",(215) 333-1209,,,0,4.5,126,10,A
10th Street Laundromat,laundromat,10th-street-laundromat,"1143 S 10th St, Philadelphia, PA 19147, USA",(215) 463-3100,,,0,4.5,80,10,A
Laundromat of Pine Street LLC,laundromat,laundromat-of-pine-street-llc,"309 S 48th St, Philadelphia, PA 19143, USA",(215) 748-8883,,,0,3.8,307,10,A
U Do We Do Locust Laundromat,laundromat,u-do-we-do-locust-laundromat,"4303 Locust St, Philadelphia, PA 19104, USA",(215) 387-1697,,,0,4.5,136,9,A
South Street Laundry,laundromat,south-street-laundry,"1611 South St, Philadelphia, PA 19146, USA",(201) 600-3346,,http://www.southstlaundry.com/,30,4.7,28,10,B
PHLaundry,laundromat,phlaundry,"2334 S 22nd St, Philadelphia, PA 19145, USA",(267) 888-2522,,,0,4.5,254,10,A
Super Clean Laundromat Express,laundromat,super-clean-laundromat-express,"6835 Old York Rd, Philadelphia, PA 19126, USA",(267) 368-5590,,,0,4.4,172,10,A
Man of the house 215,handyman,man-of-the-house-215,"5850 N 13th St, Philadelphia, PA 19141, USA",(267) 292-8435,,,0,4.9,76,10,A
Our Neighborhood Handyman / ONH Construction,handyman,our-neighborhood-handyman-onh-construction,"319 W Seymour St, Philadelphia, PA 19144, USA",(888) 856-6182,,https://ourneighborhoodhandyman.com/,0,4.9,28,8,B
Houdini Lock & Safe,locksmith,houdini-lock-safe,"616 S Broad St, Philadelphia, PA 19146, USA",(215) 884-2500,,http://www.houdinionline.com/,30,4.1,55,10,B
Express Local Locksmith - North Philadelphia,locksmith,express-local-locksmith-north-philadelphia,"1446 N Franklin St, Philadelphia, PA 19122, USA",(267) 704-6134,,https://expresslocallocksmith.com/north-philadelphia/,20,5,182,10,B
Rothe Florists & Flower Delivery,florist,rothe-florists-flower-delivery,"7148 Germantown Ave, Philadelphia, PA 19119, USA",(215) 247-0832,,https://www.rotheflorists.com/?utm_source=google&utm_medium=gmb-website-link&utm_campaign=tmf-gmb,10,4.9,467,10,B
Roses Florist,florist,roses-florist,"36th and Chestnut, Sheraton University City Hotel, 3551 Chestnut St, Philadelphia, PA 19104, USA",(215) 387-3440,,https://www.uofprosesflorist.com/?utm_source=google&utm_medium=gbp&y_source=1_MjA4OTE5NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,10,4.3,77
Orchid Flower Shop,florist,orchid-flower-shop,"1633 Chancellor St, Philadelphia, PA 19103, USA",(215) 545-2155,,http://www.orchidflowershop.org/,10,4.6,56,10,B
5th Street Florists,florist,5th-street-florists,"2830 N 5th St, Philadelphia, PA 19133, USA",(267) 423-0151,,http://5thstflorist.wix.com/5thstflorist,10,4.4,51,10,B
Manayunk Pooch Scoochers,dog walker,manayunk-pooch-scoochers,"571 Jamestown Ave., Philadelphia, PA 19128, USA",(646) 510-2902,,http://www.manayunkpoochscoochers.com/,30,5,39,2,B
Boots 'n Paws,dog walker,boots-n-paws,"7932 Germantown Ave, Philadelphia, PA 19118, USA",,,https://bootsnpawsphilly.com/,10,5,2,4,B
Jo Jo's Pro Auto Detailing,auto detailing,jo-jos-pro-auto-detailing,"1913 S Bancroft St, Philadelphia, PA 19145, USA",(215) 755-2722,,,0,4.8,145,10,A
J & B Auto Detailings LLC,auto detailing,j-b-auto-detailings-llc,"2903 Southampton Rd A, Philadelphia, PA 19154, USA",(215) 673-2588,,http://www.jandbautodetail.com/,30,4.9,313,10,B
Gabe’s Auto Detailing & Ceramic Coating | Tint,auto detailing,gabes-auto-detailing-ceramic-coating-tint,"5317 N Howard St, Philadelphia, PA 19120, USA",(267) 252-9593,,,0,4.9,391,10,A
"Alpha Auto Works- Paint Protection Film, Ceramic Coating, Window Tint and Vinyl Car Wrap",auto detailing,alpha-auto-works-paint-protection-film-ceramic-coating-window-tint-and-vinyl-car-wrap,"10067 Sandmeyer Ln W415, Philadelphia, PA 19116, USA",(445) 444-3744,,https://alphaautoshop.com/?utm_source=gbp,0,5,533
Detailing World Philly,auto detailing,detailing-world-philly,"4220 Whitaker Ave, Philadelphia, PA 19124, USA",(267) 209-3480,,https://detailingworldpa.com/,0,4.9,89,10,B
FR Auto Detail,auto detailing,fr-auto-detail,"6450 Harbison Ave, Philadelphia, PA 19149, USA",(215) 284-7800,,,0,4.8,98,10,A
KingZ Hand Wash & Detail Center,auto detailing,kingz-hand-wash-detail-center,"1207-09 Passyunk Ave, Philadelphia, PA 19147, USA",(267) 707-8002,,,0,4.6,126,10,A
Cmcleaning Residential & Commercial,carpet cleaning,cmcleaning-residential-commercial,"4800 Fillmore Terrace, Philadelphia, PA 19124, USA",(267) 367-0392,,,0,5,210,10,A
Arch Carpets Care,carpet cleaning,arch-carpets-care,"1024 Arch St, Philadelphia, PA 19107, USA",(215) 960-9118,,,0,5,60,4,A
Eli Carpet & Upholstery Cleaning,carpet cleaning,eli-carpet-upholstery-cleaning,"8914 Frankford Ave, Philadelphia, PA 19136, USA",(445) 203-2598,,http://elicarpetupholsterycleaning.com/,10,4.7,38,4,B
Two Men and a Truck Moving,moving company,two-men-and-a-truck-moving,"2092 W Main St Suite D, Norristown, PA 19403, USA",(484) 482-0143,,https://twomenandatruck.com/movers/pa/philadelphia?utm_source=google&utm_medium=organic&utm_campaign=gmb,10,4.4,758,10,B
We Pick Things Up and Put Them Down LLC,moving company,we-pick-things-up-and-put-them-down-llc,"1700 Market St #1005, Philadelphia, PA 19103, USA",(888) 905-1162,,http://www.wepickthingsup.com/,5,4.9,64,8,B
Stevie's Mobile Mechanic,mobile mechanic,stevies-mobile-mechanic,"18049 N 13th Ave, Phoenix, AZ 85023, USA",(602) 654-6118,,,0,4.4,27,6,A
BARBER-Q (Downtown),barber,barber-q-downtown,"635 SW Morrison St, Portland, OR 97205, USA",(503) 223-8002,,https://barberqdowntown.com/,0,4.8,162,10,B
Rose City Barbers,barber,rose-city-barbers,"5018 NE 22nd Ave, Portland, OR 97211, USA",(503) 284-6008,,http://www.rosecitybarbers.com/,50,4.9,463,10,B
North End Barber Company,barber,north-end-barber-company,"7433 N Leavitt Ave, Portland, OR 97203, USA",(971) 277-7030,,http://www.northendbarbercompany.com/,50,4.9,380,10,B
Hair M Downtown,barber,hair-m-downtown,"1101 SW Main St, Portland, OR 97205, USA",(503) 517-0570,,http://www.hairmgrooming.com/,55,4.7,317,10,B
Dillingers Barber Shop,barber,dillingers-barber-shop,"3516 NE 15th Ave, Portland, OR 97212, USA",(503) 421-4646,,http://www.dillingersbarbershop.com/,55,4.8,158,10,B
Best Auto Repair,auto repair,best-auto-repair,"4222 NE Martin Luther King Jr Blvd, Portland, OR 97211, USA",(503) 287-5715,,,0,4.4,96,10,A
Hansen Mechanical,auto repair,hansen-mechanical,"1405 SE 8th Ave, Portland, OR 97214, USA",(503) 206-5918,,http://hmpdx.com/,50,5,113,3,B
Maxim Auto Care,auto repair,maxim-auto-care,"1024 SE Stephens St, Portland, OR 97214, USA",(503) 484-3448,,,0,5,149,7,A
Steve's Automotive,auto repair,steves-automotive,"22 NW 14th Ave, Portland, OR 97209, USA",(503) 227-4112,,http://www.stevesautomotive.com/,30,4.4,111,5,B
Danny's Auto Repair LLC,auto repair,dannys-auto-repair-llc,"7631 NE Sandy Blvd, Portland, OR 97213, USA",(503) 284-1043,,,0,4.5,101,4,A
Elite Auto Service,auto repair,elite-auto-service,"930 Commercial St NE, Salem, OR 97301, USA",(503) 602-7178,,http://www.eliteautosalem.com/,35,4.8,144,5,B
Precision Auto Care,auto repair,precision-auto-care,"1255 Sunnyview Rd NE, Salem, OR 97301, USA",(503) 362-1603,,http://www.precisionautocare.us/,55,4.7,103,4,B
McFarland's Mobile Mechanics,auto repair,mcfarlands-mobile-mechanics,"2530 State St, Salem, OR 97301, USA",(971) 241-7057,,http://mcfarlandsmobile.com/,45,4.1,282,10,B
Westgate Auto Center,auto repair,westgate-auto-center,"690 Wallace Rd NW, Salem, OR 97304, USA",(503) 363-2438,,,0,4.9,76,3,A
Brooks Automotive,auto repair,brooks-automotive,"4985 Brooklake Rd NE, Salem, OR 97305, USA",(503) 390-4229,,https://brooksautomotiverepair.business.site/,10,4.9,77,10,B
Payless Auto and Collision,auto repair,payless-auto-and-collision,"1810 12th St SE, Salem, OR 97302, USA",(503) 581-2079,,https://paylessautoandcollision.com/,10,4.3,137,10,B
Graham Landscape & Design LLC,landscaper,graham-landscape-design-llc,"34024 Old Willamette Hwy S, Eugene, OR 97405, USA",(541) 729-8029,,http://graham-landscape.com/,55,4.8,348,10,B
All Seasons Landscape Maintenance,landscaper,all-seasons-landscape-maintenance,"90000 Prairie Rd Unit #57, Eugene, OR 97402, USA",(541) 579-4393,,http://www.aslm.us/,30,4.9,28,10,B
4 Seasons Landscaping & Maintenance,landscaper,4-seasons-landscaping-maintenance,"2511 W 11th Ave Suite D, Eugene, OR 97402, USA",(541) 895-5242,,http://4seasonslandscapingpro.com/,55,4.8,33,10,B
PNW Landscapes,landscaper,pnw-landscapes,"4634 Harriett St, Eugene, OR 97402, USA",(541) 600-6146,,http://pnwlandscapes.com/,55,4.7,81,10,B
Ace Handyman Services Bend,handyman,ace-handyman-services-bend,"1375 SE Wilson Ave, Bend, OR 97702, USA",(541) 224-5833,,https://www.acehandymanservices.com/offices/bend?utm_source=google&utm_medium=gmb&utm_campaign=Google%20Business%20Profile%20-%20Bend%20(GBP/Pin),25,4.9,32,10,B
Bend River Handyman,handyman,bend-river-handyman,"734 SE 5th St, Bend, OR 97702, USA",(209) 362-7576,,http://bendriverhandyman.com/,40,4.9,14,10,B
House Doctors Handyman of Central Oregon,handyman,house-doctors-handyman-of-central-oregon,"320 SW Century Dr Suite 405-169, Bend, OR 97702, USA",(541) 678-5058,,http://housedoctors.com/handyman-centraloregon,10,4.9,18,10,B
