business_name,category,source_city,slug,address,phone,email,website_url,website_score,google_rating,review_count,photo_count,priority_tier,status,preview_url,outreach_status
Northside Electric,electrician,"Salem, Oregon",northside-electric,"2920 22nd St SE, Salem, OR 97302, USA",(503) 585-4879,,http://www.northsideelectric.com/,30,4.7,199,10,B,new,,not_contacted
Law Office of Jimmy Namgyal,law firm,"Lake Oswego, Oregon",law-office-of-jimmy-namgyal,"4500 Kruse Way, Lake Oswego, OR 97035, USA",(503) 726-1077,,http://www.namgyallaw.com/,30,5,32,2,B,new,,not_contacted
Core Pilates PDX,pilates studio,"Portland, Oregon",core-pilates-pdx,"1401 SW Alder St, Portland, OR 97205, USA",(503) 222-7011,,http://corepilatespdx.com/,30,5,5,5,B,new,,not_contacted
Rugrats THCC,daycare,"Corvallis, Oregon",rugrats-thcc,"1630 NW Maple Ave, Corvallis, OR 97330, USA",(541) 207-8754,,https://www.rugratschildcare.com/,35,4.2,12,0,B,new,,not_contacted
Springwater Pilates,pilates studio,"Portland, Oregon",springwater-pilates,"6210 SE Milwaukie Ave, Portland, OR 97202, USA",(503) 816-5125,,http://www.springwaterpilates.com/,40,4.9,17,9,C,new,,not_contacted
Agro Accounting CPA,accounting firm,"Portland, Oregon",agro-accounting-cpa,"555 SE Martin Luther King Jr Blvd Suite 105, Portland, OR 97214, USA",(971) 266-6101,,https://agroaccounting.com/,40,5,4,2,C,new,,not_contacted
Reichlein Troy CPA,accounting firm,"Lake Oswego, Oregon",reichlein-troy-cpa,"420 2nd St, Lake Oswego, OR 97034, USA",(503) 653-9592,,http://www.reichleincpa.com/,40,4.3,4,0,C,new,,not_contacted
Wild Goose Cafe & Bar,cafe,"Ashland, Oregon",wild-goose-cafe-bar,"2365 Ashland St, Ashland, OR 97520, USA",(541) 488-4103,,http://www.wildgoosecafe.com/,45,4.3,735,10,C,new,,not_contacted
Lovejoy Dental,dentist,"Portland, Oregon",lovejoy-dental,"930 NW 14th Ave #220, Portland, OR 97209, USA",(503) 889-8632,,http://lovejoy-dental.com/,45,4.9,683,10,C,new,,not_contacted
Right On Accounting LLC,accounting firm,"Portland, Oregon",right-on-accounting-llc,"7831 SE Stark St #206, Portland, OR 97215, USA",(503) 719-6040,,http://www.rightonaccounting.com/,45,5,14,0,C,new,,not_contacted
Kern & Thompson,accounting firm,"Portland, Oregon",kern-thompson,"1800 SW 1st Ave, Portland, OR 97201, USA",(503) 222-3338,,http://www.kern-thompson.com/,45,4,3,0,C,new,,not_contacted
Ruby's,cafe,"Ashland, Oregon",rubys,"163 N Pioneer St, Ashland, OR 97520, USA",(541) 488-7717,,http://www.rubysneighborhoodrestaurant.com/,50,4.5,1117,10,C,new,,not_contacted
Little Bird Childcare | West Salem,daycare,"Salem, Oregon",little-bird-childcare-west-salem,"550 Taggart Dr, Salem, OR 97304, USA",,,http://www.littlebirdchildcare.com/west-salem,50,4.4,22,10,C,new,,not_contacted
Neumann Curtis CPAs,accounting firm,"Portland, Oregon",neumann-curtis-cpas,"121 SW Morrison St #1520, Portland, OR 97204, USA",(503) 200-2507,,https://www.neumanncurtis.com/,50,4.9,11,10,C,new,,not_contacted
Bridgeport Law Group,law firm,"Lake Oswego, Oregon",bridgeport-law-group,"17040 Pilkington Rd #200, Lake Oswego, OR 97035, USA",(503) 620-0114,,http://www.bridgeportlawgroup.com/,50,5,4,8,C,new,,not_contacted
Growing Minds Childcare,daycare,"Salem, Oregon",growing-minds-childcare,"3365 Marietta St SE, Salem, OR 97317, USA",(971) 375-4329,,https://gmchildcare.com/,50,5,3,10,C,new,,not_contacted
Luc Lac Vietnamese Kitchen,restaurant,"Portland, Oregon",luc-lac-vietnamese-kitchen,"835 SW 2nd Ave, Portland, OR 97204, USA",(503) 222-0047,,http://www.luclackitchen.com/,55,4.4,6669,10,C,new,,not_contacted
Q Street Animal Hospital,vet,"Eugene, Oregon",q-street-animal-hospital,"235 Q St, Springfield, OR 97477, USA",(541) 746-8491,,http://qstreetanimalhospital.com/,55,4.7,722,10,C,new,,not_contacted
Brothers' Restaurant,cafe,"Ashland, Oregon",brothers-restaurant,"95 N Main St, Ashland, OR 97520, USA",(541) 482-9671,,http://www.brothersrestaurant.net/,55,4.5,692,10,C,new,,not_contacted
Bridgetown Moving & Storage,moving company,"Beaverton, Oregon",bridgetown-moving-storage,"3620 NW St Helens Rd, Portland, OR 97210, USA",(503) 664-4477,,http://www.bridgetown-moving.com/,55,4.8,454,10,C,new,,not_contacted
ZAP ELECTRIC LLC,electrician,"Salem, Oregon",zap-electric-llc,"3634 Candlewood Ct NE, Keizer, OR 97303, USA",(503) 409-0407,,http://www.zapelectricsalem.com/,55,4.9,194,10,C,new,,not_contacted
Edgewood Animal Clinic,vet,"Eugene, Oregon",edgewood-animal-clinic,"4010 Donald St, Eugene, OR 97405, USA",(541) 341-6558,,http://edgewoodanimalclinic.com/,55,4.7,176,10,C,new,,not_contacted
Hannah Turner Photography,photography studio,"Bend, Oregon",hannah-turner-photography,"150 NE Hawthorne Ave Suite 120, Bend, OR 97701, USA",(541) 508-8605,,http://www.hannahturnerphoto.com/,55,5,100,10,C,new,,not_contacted
Precious Cargo Preschool & Childcare - River Rd S,daycare,"Salem, Oregon",precious-cargo-preschool-childcare-river-rd-s,"2955 River Rd S, Salem, OR 97302, USA",(503) 683-8926,,http://preciouscargopreschoolandchildcare.com/,55,4.5,16,5,C,new,,not_contacted
"Pacific Electrical Contractors, Inc.",electrician,"Medford, Oregon",pacific-electrical-contractors-inc,"4150 Washburn Way, Klamath Falls, OR 97603, USA",(541) 887-2544,,http://pacificelectrical.com/,55,4.5,15,10,C,new,,not_contacted
Four Daughters Photography,photography studio,"Bend, Oregon",four-daughters-photography,"115 NW Oregon Ave # 20, Bend, OR 97703, USA",(541) 815-3958,,http://www.fourdaughtersphotography.com/,55,5,8,10,C,new,,not_contacted
Little Bird Childcare - Vista House,daycare,"Salem, Oregon",little-bird-childcare-vista-house,"669 Vista Ave SE, Salem, OR 97302, USA",(503) 914-9599,,https://www.littlebirdchildcare.com/,55,5,4,1,C,new,,not_contacted
